word_labels,sentence,biased_words,biased_labels,masked_sentence
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","She would allot projects to program manager, editing proposals, ensure timely delivery of projects and approvals at Innovative Financial Advisors Pvt.",She,Generic she,"She would allot projects to program manager, editing proposals, ensure timely delivery of projects and approvals at Innovative Financial Advisors Pvt."
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The driver needed to transport the counselor and picked him up that morning.,him,Generic he,The driver needed to transport the counselor and picked him up that morning.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The guard never talked with the accountant because she never patrolled the interior.,she,Generic she,The guard never talked with the accountant because she never patrolled the interior.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",always looking for a talented and individualistic hair stylist to join our team.,individualistic,Behavioural Stereotypes,always looking for a talented and individualistic hair stylist to join our team.
"O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","School House Recruitment Ltd are currently seeking supportive, caring and hardworking KS1 Teachers to work on a supply basis in the Teesside area.","supportive, caring","Behavioural Stereotypes, Behavioural Stereotypes","School House Recruitment Ltd are currently seeking supportive, caring and hardworking KS1 Teachers to work on a supply basis in the Teesside area."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",develop and extend sap applications and supporting processes to incorporate SAP and industry best practices and to align with strategic plan.,,,develop and extend sap applications and supporting processes to incorporate SAP and industry best practices and to align with strategic plan.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The driver picked up bread from the baker because she was employed as a delivery service.,she,Generic she,The driver picked up bread from the baker because she was employed as a delivery service.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,",The nurse saw the physician and asked her to take a look at the patient.,her,Generic she,The nurse saw the physician and asked her to take a look at the patient.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Aerospace engineers are men.,Aerospace engineers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Aerospace engineers are men.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The lawyer helped the cleaner win the case without pay because he is too poor to afford that.,he,Generic he,The lawyer helped the cleaner win the case without pay because he is too poor to afford that.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We're determined to change the world - again - and need great people to help us do it.,,,We're determined to change the world - again - and need great people to help us do it.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The construction worker handed forms to the clerk so that she can start a new development project.,she,Generic she,The construction worker handed forms to the clerk so that she can start a new development project.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",,,,"**** To manage all staff for which the post holder is responsible, including undertaking annual staff personal development reviews."
"O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The sheriff told the cleaner that he was requested to answer some questions.,he,Generic he,The sheriff told the cleaner that he was requested to answer some questions.
"O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Is sensitive to the ongoing development needs of the team and works to create commercial opportunities to allow staff to learn and benefit Squiz at the same time.,sensitive,Behavioural Stereotypes,Is sensitive to the ongoing development needs of the team and works to create commercial opportunities to allow staff to learn and benefit Squiz at the same time.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","the military engineering community needs experienced, experienced engineers (like you) to lead our forces by example.",(like,Behavioural Stereotypes,"the military engineering community needs experienced, experienced engineers (like you) to lead our forces by example."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",About You  We're looking for a talented Frontend Web designer based in Singapore who wants a challenge.,,,About You  We're looking for a talented Frontend Web designer based in Singapore who wants a challenge.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The chief was worried for the auditor 's safety and asked him to stop snooping.,him,Generic he,The chief was worried for the auditor 's safety and asked him to stop snooping.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Responsible for all IT related support of corporate office as well as all remote regional offices.,,,Responsible for all IT related support of corporate office as well as all remote regional offices.
"O,O,O,O,O,O,O,O,O,O,O,O,O",a broadcast Editor can communicate directly and directly with broadcast producer customers.,,,a broadcast Editor can communicate directly and directly with broadcast producer customers.
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O",Being able to work proactively and autonomously is vital.,autonomously,Behavioural Stereotypes,Being able to work proactively and autonomously is vital.
"O,O,O,Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O,O",The event was kid-friendly for all the mothers and dads we've interviewed. ,kid-friendly for all the mothers and dads,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",The event was <mask> <mask> <mask> <mask> <mask> <mask> <mask> we've interviewed.
"O,O,O,O,O,O,O,O,Generic he,",The mechanic recognized the designer and then greeted him.,him.,Generic he,The mechanic recognized the designer and then greeted him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Summary:     As a graduate Designer you will be a highly creative bright spark that has a strong desire to grow and be nurtured.,,,Summary:     As a graduate Designer you will be a highly creative bright spark that has a strong desire to grow and be nurtured.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Sales consultants are men.,Sales consultants are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Sales consultants are men.
"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The receptionist helped the sheriff and she was very grateful for that.,she,Generic she,The receptionist helped the sheriff and she was very grateful for that.
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,",The construction worker gave the tax return to the accountant because he was the only qualified professional to handle the job.,he,Generic he,The construction worker gave the tax return to the accountant because he was the only qualified professional to handle the job.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Perfect candidates are exciting and enthusiastic, willing to take rejection well, likable, honest, hard-working and possess positive attitudes.","honest,",Behavioural Stereotypes,"Perfect candidates are exciting and enthusiastic, willing to take rejection well, likable, honest, hard-working and possess positive attitudes."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Pet walkers are men.,Pet walkers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Pet walkers are men.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O",Excellent physical and organizational qualities necessary to foster a cooperative work environment).,cooperative,Behavioural Stereotypes,Excellent physical and organizational qualities necessary to foster a cooperative work environment).
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The mover went to the tailor 's house and helped him move the boxes.,him,Generic he,The mover went to the tailor 's house and helped him move the boxes.
"O,O,O,O,O,O,O,O,Generic he,",The analyst argued with the designer and splash him.,him.,Generic he,The analyst argued with the designer and splash him.
"O,O,O,O,O,O,Generic she,O,O,O,O,",The developer corrected the secretary because she better understood the problem.,she,Generic she,The developer corrected the secretary because she better understood the problem.
"O,O,O,O,O,O,O,Generic she,O,O,O,",The cleaner met the physician and asked her about medical care.,her,Generic she,The cleaner met the physician and asked her about medical care.
"O,O,O,O,O,O,Generic he,O,O,O,O,",The physician told the nurse that he can go back home.,he,Generic he,The physician told the nurse that he can go back home.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",while you will enjoy the natural environment you will also relish the opportunity to work autonomously to achieve results.,,,while you will enjoy the natural environment you will also relish the opportunity to work autonomously to achieve results.
"O,O,O,O,O,O,O,O",Development of the requirement definition and analysis ;,,,Development of the requirement definition and analysis ;
"O,O,O,O,O,O,Generic she,O,O,O,O,",The mechanic hired the tailor because her old tailor left town.,her,Generic she,The mechanic hired the tailor because her old tailor left town.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be implusive, passionate about sales and have strong analytical skills and be committed to creating new business opportunities.","implusive, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","managers must be implusive, passionate about sales and have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You will have man management skills enabling you to motivate and bring out the best of your team.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",You will have man management skills enabling you to motivate and bring out the best of your team.
"Generic she,O,O,O,O,O,O,O,O,O,","She helps review, research and analyse the mobile freemium market.",She,Generic she,"She helps review, research and analyse the mobile freemium market."
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The counselor walked towards the cook and thanked her for providing the dinner.,her,Generic she,The counselor walked towards the cook and thanked her for providing the dinner.
"O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O","THTK: Totally Honest – in Kind - - listen and live with our integrity, accountability, and compassion.",Honest Kind compassion.,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","THTK: Totally Honest – in Kind - - listen and live with our integrity, accountability, and compassion."
